[2024-11-28 22:26:06] Log kaydı kapalı, işlem yapılmadı
[2024-11-28 22:26:08] Log kaydı kapalı, işlem yapılmadı
[2024-11-28 22:44:20] Log kaydı kapalı, işlem yapılmadı
[2024-11-28 22:49:52] Log kaydı kapalı, işlem yapılmadı
[2024-11-28 22:50:17] Log kaydı kapalı, işlem yapılmadı
[2024-11-28 22:51:53] Log kaydı kapalı, işlem yapılmadı
[2024-11-28 22:53:43] Log kaydı kapalı, işlem yapılmadı
[2024-11-28 22:54:59] Log kaydı kapalı, işlem yapılmadı
[2024-11-28 22:55:05] Log kaydı kapalı, işlem yapılmadı
[2024-11-28 23:36:21] Log kaydı kapalı, işlem yapılmadı
[2025-01-15 19:29:43] Log kaydı kapalı, işlem yapılmadı
[2025-01-15 19:30:08] Log kaydı kapalı, işlem yapılmadı
[2025-01-15 19:38:44] Log kaydı kapalı, işlem yapılmadı
[2025-01-15 19:52:03] Log kaydı kapalı, işlem yapılmadı
[2025-01-15 21:12:26] Log kaydı kapalı, işlem yapılmadı
